Date,DOW,Month,Title,Receipts,Zinz,Composer,Author
1789-11-03,Tue,Nov,Una cosa rara,12974,TRUE,Martín y Soler,Da Ponte
1789-11-05,Thu,Nov,Le nozze di Figaro,13229,TRUE,Mozart,Da Ponte
1789-11-07,Sat,Nov,"Axur, re d'Ormus",10410,FALSE,Salieri,Da Ponte
1789-11-09,Mon,Nov,Il burbero di buon cuore,15333,TRUE,Martín y Soler,Da Ponte
1789-11-11,Wed,Nov,Il burbero di buon cuore,7781,TRUE,Martín y Soler,Da Ponte
1789-11-13,Fri,Nov,Le nozze di Figaro,13013,FALSE,Mozart,Da Ponte
1789-11-15,Sun,Nov,Il burbero di buon cuore,13691,FALSE,Martín y Soler,Da Ponte
1789-11-17,Tue,Nov,"Axur, re d'Ormus",11426,TRUE,Salieri,Da Ponte
1789-11-19,Thu,Nov,L'arbore di Diana,16039,TRUE,Martín y Soler,Da Ponte
1789-11-21,Sat,Nov,Il falegname,4764,FALSE,Cimarosa,Da Ponte
1789-11-23,Mon,Nov,Una cosa rara,11713,TRUE,Martín y Soler,Da Ponte
1789-11-25,Wed,Nov,"Axur, re d'Ormus",8828,TRUE,Salieri,Da Ponte
1789-11-27,Fri,Nov,Le nozze di Figaro,9503,TRUE,Mozart,Da Ponte
1789-12-01,Tue,Dec,Il burbero di buon cuore,6173,TRUE,Martín y Soler,Da Ponte
1789-12-03,Thu,Dec,I due suppositi conti,4053,FALSE,Cimarosa,Anelli
1789-12-07,Mon,Dec,"Axur, re d'Ormus",8570,TRUE,Salieri,Da Ponte
1789-12-09,Wed,Dec,Il falegname,2768,FALSE,Cimarosa,Da Ponte
1789-12-11,Fri,Dec,La cifra,29121,TRUE,Salieri,Da Ponte
1789-12-13,Sun,Dec,La cifra,27818,TRUE,Salieri,Da Ponte
1789-12-15,Tue,Dec,La cifra,16695,TRUE,Salieri,Da Ponte
1789-12-17,Thu,Dec,I due suppositi conti,7397,TRUE,Cimarosa,Anelli
1789-12-19,Sat,Dec,Il falegname,3188,FALSE,Cimarosa,Da Ponte
1789-12-21,Mon,Dec,La cifra,16943,TRUE,Salieri,Da Ponte
1789-12-27,Sun,Dec,La cifra,21934,TRUE,Salieri,Da Ponte
1789-12-29,Tue,Dec,"Axur, re d'Ormus",10205,TRUE,Salieri,Da Ponte
